Row_no,Sample_ID,Petro_no,Analysis_no,Spot_no,Distance_no,Distance_um,Tag,Age,Sr8786,Sr8786_norm,SE1,SE2,SrV,Spot_size_um,Rep_rate_hz,Dwell_time_sec,Power_percent,Analysis_date,Analysis_time
44,WEM20220507,WEM1,1,41,41,1579.442,age4,4,0.708132151,0.70824095,6.20E-05,0.000123961,2.4262515,40,10,25,77,9/6/2022,10:56 PM
45,WEM20220507,WEM1,1,42,42,1617.501,age4,4,0.707851939,0.707960695,9.10E-05,0.000182011,2.205040569,40,10,25,77,9/6/2022,10:56 PM
46,WEM20220507,WEM1,1,43,43,1651.936,age4,4,0.707899503,0.708008266,9.12E-05,0.000182315,2.239795611,40,10,25,77,9/6/2022,10:56 PM
47,WEM20220507,WEM1,1,44,44,1698.603,age4,4,0.707972214,0.708080989,0.000193464,0.000386927,2.252606691,40,10,25,77,9/6/2022,10:56 PM
48,WEM0401065,WEM2,1,1,1,28.544,,,0.708057643,0.70816643,7.66E-05,0.000153194,1.985663497,40,10,25,77,9/6/2022,11:20 PM
49,WEM0401065,WEM2,1,2,2,70.681,,,0.708069652,0.708178441,0.000102982,0.000205965,2.154947769,40,10,25,77,9/6/2022,11:20 PM
50,WEM0401065,WEM2,1,3,3,106.927,,,0.708140054,0.708248854,8.50E-05,0.000170025,2.423088049,40,10,25,77,9/6/2022,11:20 PM
51,WEM0401065,WEM2,1,4,4,149.064,,,0.708125787,0.708234585,0.000109201,0.000218403,2.654212326,40,10,25,77,9/6/2022,11:20 PM
52,WEM0401065,WEM2,1,5,5,188.029,,,0.707915775,0.70802454,8.78E-05,0.000175526,3.244454898,40,10,25,77,9/6/2022,11:20 PM
53,WEM0401065,WEM2,1,6,6,220.651,,,0.708052111,0.708160898,5.80E-05,0.000115927,3.304135062,40,10,25,77,9/6/2022,11:20 PM
54,WEM0401065,WEM2,1,7,7,269.13,,,0.707892274,0.708001036,8.24E-05,0.000164822,3.346243326,40,10,25,77,9/6/2022,11:20 PM
55,WEM0401065,WEM2,1,8,8,307.189,,,0.707998287,0.708107065,5.50E-05,0.000110076,3.678125911,40,10,25,77,9/6/2022,11:20 PM
56,WEM0401065,WEM2,1,9,9,350.685,,,0.708046353,0.708155138,8.40E-05,0.000167991,3.787117323,40,10,25,77,9/6/2022,11:20 PM
57,WEM0401065,WEM2,1,10,10,390.556,,,0.70798174,0.708090516,6.22E-05,0.000124386,4.008456247,40,10,25,77,9/6/2022,11:20 PM
58,WEM0401065,WEM2,1,11,11,429.521,,,0.708033543,0.708142327,7.55E-05,0.0001509,4.556196396,40,10,25,77,9/6/2022,11:20 PM
59,WEM0401065,WEM2,1,12,12,465.315,,,0.707924535,0.708033302,5.37E-05,0.00010745,4.234091511,40,10,25,77,9/6/2022,11:20 PM
60,WEM0401065,WEM2,1,13,13,499.749,,,0.707994178,0.708102956,5.69E-05,0.000113883,4.338690563,40,10,25,77,9/6/2022,11:20 PM
61,WEM0401065,WEM2,1,14,14,540.979,,,0.707983693,0.708092469,6.74E-05,0.000134797,3.703885186,40,10,25,77,9/6/2022,11:20 PM
62,WEM0401065,WEM2,1,15,15,579.491,,,0.707958234,0.708067006,5.84E-05,0.000116861,3.387223785,40,10,25,77,9/6/2022,11:20 PM
63,WEM0401065,WEM2,1,16,16,630.237,age 1,,0.708051772,0.708160559,8.19E-05,0.000163714,2.90748617,40,10,25,77,9/6/2022,11:20 PM
64,WEM0401065,WEM2,1,17,17,665.577,,,0.707797983,0.70790673,4.18E-05,8.36E-05,2.902767141,40,10,25,77,9/6/2022,11:20 PM
65,WEM0401065,WEM2,1,18,18,708.167,,,0.708022422,0.708131204,7.04E-05,0.000140878,3.19953194,40,10,25,77,9/6/2022,11:20 PM
66,WEM0401065,WEM2,1,19,19,746.678,,,0.707935253,0.708044022,8.17E-05,0.000163441,2.934378538,40,10,25,77,9/6/2022,11:20 PM
67,WEM0401065,WEM2,1,20,20,785.644,,,0.70805936,0.708168148,5.47E-05,0.000109418,3.125310067,40,10,25,77,9/6/2022,11:20 PM
68,WEM0401065,WEM2,1,21,21,825.968,,,0.707710212,0.707818946,7.69E-05,0.000153869,2.908954504,40,10,25,77,9/6/2022,11:20 PM
69,WEM0401065,WEM2,1,22,22,860.402,,,0.707839102,0.707947856,4.84E-05,9.69E-05,3.06351403,40,10,25,77,9/6/2022,11:20 PM
70,WEM0401065,WEM2,1,23,23,897.102,,,0.707839268,0.707948022,6.37E-05,0.000127476,3.129426647,40,10,25,77,9/6/2022,11:20 PM
71,WEM0401065,WEM2,1,24,24,943.769,,,0.707975749,0.708084524,7.50E-05,0.000150001,2.759738294,40,10,25,77,9/6/2022,11:20 PM
72,WEM0401065,WEM2,1,25,25,979.562,age 2,,0.707864554,0.707973312,8.77E-05,0.000175408,2.530489145,40,10,25,77,9/6/2022,11:20 PM
73,WEM0401065,WEM2,1,26,26,1023.964,,,0.707720837,0.707829573,9.37E-05,0.000187473,2.987265244,40,10,25,77,9/6/2022,11:20 PM
