"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"34952","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MA","","state non-specific","42.25682","-71.81224","Calculated by GIS","Centroid","New England Region","01000000","1992","","","established","a few larger reservoirs in the state","Literature","","","Freshwater","103","Journal Article","1992","Hartel, K.E.","Non-native fishes known from Massachusetts freshwaters.","","","704","Book","1993","Cardoza, J.E., G.S. Jones, T.W. French, and D.B. Halliwell.","Exotic and translocated vertebrates of Massachusetts. Fauna of Massachusetts Series No. 6.","Massachusetts Division of Fisheries and Wildlife","Westborough, MA","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"268763","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MA","","Merrimack River drainage","42.664261","-71.383667","Calculated by GIS","Centroid","Winnipesaukee River","01070002","1986","","","established","","Literature","","","Freshwater","1661","Book Chapter","1986","Schmidt, R.E.","Zoogeography of the northern Appalachians.","John Wiley and Sons","New York, NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"163936","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MA","Franklin","Silvio O. Conte National Fish and Wildlife Refuge","42.611","-72.553","Map derived","Accurate","Ashuelot River-Connecticut River","01080201","2005","","","established","","Literature","","","Freshwater","14257","Web Page","2005","U.S. Fish and Wildlife Service.","National Wildlife Refuge System Invasive Species.","USFWS National Wildlife Refuge System and USGS National Institute of Invasive Species Science.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1406572","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MA","Franklin","Montague; Turners Falls power canals on Connecticut River, while drained.","42.60642","-72.56658","reported","Accurate","Ashuelot River-Connecticut River","01080201","1980","8","8","established","Data from GBIF data index - original values","Specimen","Museum of Comparative Zoology specimen collection","MCZ 57104","Freshwater","26212","Database","2013","GBIF","Global Biodiversity Information Facility (GBIF) Database.","Global Biodiversity Information Facility","","25960","Database","2013","Harvard University","Museum of Comparative Zoology specimen collection. Accessed through GBIF data portal, <a href=""http://data.gbif.org/datasets/resource/14100"" target=""_blank"">http://data.gbif.org/datasets/resource/14100</a>","Harvard University","Cambridge, MA","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"613977","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MA","Franklin","Montague; Turners Falls power canals on Connecticut River, while drained.","42.60642","-72.56658","reported","Accurate","Ashuelot River-Connecticut River","01080201","1980","8","8","established","Data from GBIF data index - original values.","Specimen","Museum of Comparative Zoology specimen collection","MCZ 57104","Freshwater","26212","Database","2013","GBIF","Global Biodiversity Information Facility (GBIF) Database.","Global Biodiversity Information Facility","","25960","Database","2013","Harvard University","Museum of Comparative Zoology specimen collection. Accessed through GBIF data portal, <a href=""http://data.gbif.org/datasets/resource/14100"" target=""_blank"">http://data.gbif.org/datasets/resource/14100</a>","Harvard University","Cambridge, MA","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1674743","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MA","Hampden","Hampden County, US-MA, US","42.20885","-72.60307","reported","Approximate","Ashuelot River-Connecticut River","01080201","2020","5","27","","https://www.inaturalist.org/observations/47512086","Literature","","","Freshwater","25944","Database","2021","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1675880","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MA","Norfolk","Sharon, MA, USA","42.0928","-71.1761","reported","Accurate","Charles","01090001","2020","9","13","","https://www.inaturalist.org/observations/59502635","Literature","","","Freshwater","25944","Database","2021","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34953","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MA","Plymouth","Assawompsett River","41.84038","-70.918929","GNIS","Approximate","Narragansett","01090004","1992","","","stocked","recently stocked","Literature","","","Freshwater","103","Journal Article","1992","Hartel, K.E.","Non-native fishes known from Massachusetts freshwaters.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35206","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MD","","Youghiogheny River Reservoir","39.781466","-79.389203","GNIS","Approximate","Youghiogheny","05020006","1993","","","established","","Literature","","","Freshwater","1559","Other","1993","DeLorme.","Maryland Delaware Atlas and Gazetteer.","DeLorme, Freeport, ME.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35113","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MD","","Potomac River","39.063982","-77.33963","Map derived","Approximate","Middle Potomac-Catoctin","02070008","1969","","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
